Algorithm,Sorted-1k,Random-1k,Reverse-1k,Sorted-100k,Random-100k,Reverse-100k,Strings
Average,0.04,0.04,0.04,2.68,2.72,2.74,0.19

Insertion 0,0.01,1.11,2.04,0.5,10566.12,20361.63,4.99
Insertion 1,0.01,1.12,2.11,0.54,10591.81,20333.2,5.07
Insertion 2,0.01,1.12,2.08,0.55,10491.5,20205.33,5.01
Insertion 3,0.01,1.12,2.12,0.54,10642.42,20946.89,5.03
Insertion 4,0.01,1.11,2.11,0.55,10578.81,20343.58,5.07
Insertion 5,0.01,1.11,2.1,0.53,10597.83,20353.96,5.05
Insertion 6,0.01,1.12,2.12,0.54,10575.85,20344.17,5.07
Insertion 7,0.01,1.12,2.09,0.55,10444.87,20283.4,5.05
Insertion 8,0.01,1.12,2.09,0.55,10604.22,20411.92,5.14
Insertion 9,0.01,1.1,2.06,0.54,10613.42,20281.83,5.07
Insertion 10,0.01,1.12,2.09,0.53,10432.83,20196.61,5.06
Insertion 11,0.01,1.11,2.07,0.53,10474.41,20315.51,5.08
Insertion 12,0.01,1.15,2.07,0.54,10451.73,20303.12,5.08
Insertion 13,0.01,1.1,2.1,0.53,10560.08,20472.04,5.05
Insertion 14,0.01,1.08,2.11,0.54,10468.41,20316.69,5.04
Insertion 15,0.01,1.11,2.08,0.55,10462.94,20363.88,5.04
Insertion 16,0.01,1.11,2.12,0.55,10580.17,20186.27,5.08
Insertion 17,0.01,1.12,2.07,0.54,10567.78,20100.65,5.06
Insertion 18,0.01,1.12,2.08,0.54,10510.92,20269.75,5.04
Insertion 19,0.01,1.12,2.09,0.55,10567.67,20112.16,5.04
Insertion 20,0.01,1.13,2.1,0.54,10554.61,20511.7,5.08
Insertion 21,0.01,1.11,2,0.51,10556.19,20212.93,5.03
Insertion 22,0.01,1.13,2.08,0.54,10561.48,20196.64,5.08
Insertion 23,0.01,1.11,2.08,0.53,10478.21,20458.97,5.06
Insertion 24,0.01,1.06,2,0.5,10540.33,20112.03,5.07
Insertion 25,0.01,1.12,2.1,0.55,10562.6,20178.55,5.07
Insertion 26,0.01,1.13,2.09,0.55,10584.18,20397.24,5.1
Insertion 27,0.01,1.09,2.08,0.54,10613.91,20390.28,5.03
Insertion 28,0.01,1.1,2.09,0.55,10460.05,20114.84,5.05
Insertion 29,0.01,1.12,2.09,0.55,10549.41,20320.4,5.05
Average,0.01,1.11,2.08,0.54,10541.49,20313.21,5.06

